Model,Accuracy (%),F1-Score,Loss,Parameters (M),Time (min)
MobileNetV2,88.92307877540588,0.8886426376939275,0.41163310408592224,3.071627,23.329162724812825
VGG16,85.30769348144531,0.8515964336965621,0.5772688984870911,15.132043,26.323352670669557
ResNet50,40.69230854511261,0.38415498344539845,2.2830116748809814,24.797643,22.887304119269054
EfficientNetB0,3.2307691872119904,0.009487306890608229,4.126331329345703,4.863214,19.852975237369538
